City,State,Station ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
DUNCAN,OK,USC00342660,39.8,44.1,52.3,61.1,69.5,77.5,82.2,82,74,62.8,51.5,41.1
DURANT,OK,USC00342678,41.4,45.3,53.4,61.1,69.9,77.8,82.1,82.1,74.1,63.3,52.7,42.7
EL RENO 1 N,OK,USC00342818,35.9,40,48.1,57.8,67.7,76,81.2,80.4,71.5,60.2,47.7,37.1
ELK CITY 4 W,OK,USC00342849,36.9,40.7,48.7,57.8,67.1,76.1,80.6,80,71.8,60.2,48,37.8
ENID,OK,USC00342912,35.1,39.5,47.9,58,68.5,77.6,83,81.7,73,60.3,47.5,36.6
ERICK,OK,USC00342944,36.8,40.4,48.4,57.7,67.2,76,80.8,79.8,71.6,59.8,47.7,37.3
EUFAULA 6 SSW,OK,USC00342993,40.6,44.2,53.1,62.5,70.8,78.4,83.7,83.1,74.9,64.6,53.1,42.4
FT GIBSON DAM,OK,USC00343286,38.9,42.9,51.4,60.9,69.5,78,83.6,83,74.6,63.6,51.9,41.1
FORT SUPPLY 3SE,OK,USC00343304,32.9,37,45.4,55.5,65.4,74.8,80.1,79,69.9,57.2,44.4,33.7
FREDERICK,OK,USC00343353,39,43.2,50.9,60.8,70.1,79,83.7,83,74.6,62.4,50.2,39.7
FREEDOM,OK,USC00343358,32.6,37.3,45.9,56.1,66.2,75.2,80.5,79.2,70.3,57.4,44.8,33.4
GATE,OK,USC00343489,34.6,38.2,46.6,56.1,66,75.5,80.9,79.5,70.9,58.4,45.7,34.7
GEARY,OK,USC00343497,37.1,40.8,48.7,57.9,67.6,76.2,81.5,80.8,72,60.6,48.4,38
GOODWELL RSCH STN,OK,USC00343628,34.7,37.6,45.5,54.4,64.1,73.9,78.9,77.7,69.3,57.1,44.9,34.8
GREAT SALT PLAINS DAM,OK,USC00343740,33.7,38.6,47.1,57.5,68,77.4,82.8,81.5,72.5,59.5,46.6,35.3
GUTHRIE 5S,OK,USC00343821,36.4,40.8,49.1,59,68.3,76.5,82,81.3,72.4,60.8,48.6,38.1
HAMMON 3 SSW,OK,USC00343871,35.2,39.1,47,56.4,65.9,75.3,80.6,79.6,70.6,58.3,46.2,36
HANNA,OK,USC00343884,40.2,44.3,52.9,61.7,69.4,77.1,81.5,81.4,73.4,62.3,51.5,41.6
HEALDTON 3 E,OK,USC00344001,39,43.2,50.9,60.1,69,76.8,81.5,81.3,72.9,62,50.9,40.3
HELENA 1 SSE,OK,USC00344019,34.2,38.3,47.2,56.7,66.9,76.5,81.8,80.7,71.9,59.2,46.4,35.5
HENNESSEY 4 ESE,OK,USC00344055,34.6,38.9,46.8,56.4,67,76.4,81.7,80.6,71.8,59.5,46.6,35.8
HEYBURN DAM,OK,USC00344098,36.1,40.6,49.4,58.9,67.8,75.8,81.1,80.7,72,60.7,49.4,38.1
HOLDENVILLE 2SSE,OK,USC00344235,37.9,42.4,50.6,60.2,69.1,76.8,82,81.4,72.9,61.6,50.1,39.9
HOLLIS 5E,OK,USC00344249,38.1,42,50,59.6,69.2,78.6,82.8,82,73.8,61.4,49,38.7
HOOKER,OK,USC00344298,35.2,38.6,46.9,55.9,65.8,74.6,79.5,78.2,70.3,57.8,45.1,35.2
HUGO,OK,USC00344384,40.3,44.3,51.7,60.8,69.3,76.6,80.9,81,73.3,62.4,51.5,41.6
HULAH DAM,OK,USC00344393,33,38.2,47.2,57.2,66.6,75.2,80.5,79.5,70.9,58.8,47.6,35.5
IDABEL,OK,USC00344451,40.8,45,52.7,60.5,68.5,76,80.1,80.2,72.8,62.2,51.4,42.4
JAY TWR,OK,USC00344567,36.5,40.8,49.4,58.5,67,75,79.9,79.7,71.3,59.9,49.4,39.1
JEFFERSON,OK,USC00344573,33,37.6,45.9,55.9,66.3,75.8,81,79.7,70.7,58.2,45.4,34.3
KANSAS 2 NE,OK,USC00344672,38.5,43.1,51.7,60.3,67.7,75.3,80.1,80.1,72,61.3,50.5,40.2
KENTON,OK,USC00344766,36.7,39.3,47,55.2,64.4,73.3,78,75.9,69.3,57.1,45.8,37
KEYSTONE DAM,OK,USC00344812,35.2,40.1,49.3,58.9,67,75.1,80.6,79.9,71.3,59.9,49.2,38.1
KINGFISHER,OK,USC00344861,36.1,40.3,48.5,58.2,68.5,77.4,82.7,81.7,72.9,60.9,48.2,37.7
LAKE EUFAULA,OK,USC00344975,37.9,42.2,50.7,59.6,68,75.7,80.8,80.8,72.4,61.7,50.9,40.3
Lawton,OK,USC00345063,39.2,43.2,52.1,60.9,70.1,78.4,83.4,82.9,74.1,62.6,50.5,40.1
LINDSAY 2 W,OK,USC00345216,37.7,42.2,50.2,59.4,69.1,76.9,82,81.3,72.6,60.9,49.2,39.1
MADILL,OK,USC00345468,40.8,45.3,53.2,62.1,71,78.7,83.6,83.2,75,64.2,52.9,42.8
MANGUM,OK,USC00345509,38.4,42.5,50.7,60.1,69.6,78.2,82.6,81.9,73.7,62,49.7,39
MANNFORD 6 NW,OK,USC00345522,38.5,43.2,52.3,61.6,68.8,76.7,81.8,81.5,72.9,62,50.7,39.7
MARIETTA 5SW,OK,USC00345563,40.7,44.8,52.4,61.3,69.9,77.4,82,82.3,74.2,63.4,52.2,42.2
MC CURTAIN 1 SE,OK,USC00345693,41.7,46.1,54.5,62.9,70.4,77.8,82.9,82.6,74.3,64,53.2,43.1
MCGEE CREEK DAM,OK,USC00345713,40.8,45.5,53.5,62,70.3,77.9,82.6,82.7,74.8,63.6,52.7,42.9
MEEKER 5 W,OK,USC00345779,37.3,41.3,49.6,59,68,76,81.3,80.6,72,61,49.7,39.2
MIAMI,OK,USC00345855,35.4,40.6,49.6,58.7,67.2,75.7,80.1,80,71.2,59.3,48.8,37.8
MUSKOGEE,OK,USC00346130,37.3,41.9,50.8,60.1,68.9,76.6,81.8,81.2,72.8,61.4,50.1,39.4
MUTUAL,OK,USC00346139,35.1,38.7,46.8,56.2,66.3,76.2,81.6,80.6,71.4,59,46.3,36
NEWKIRK 1NW,OK,USC00346278,32.7,37.5,45.9,55.8,65.8,74.9,80.3,79.5,70.7,58.7,46.2,34.5
NORMAN 3SSE,OK,USC00346386,37.9,41.8,50.4,59.6,69.1,76.6,81.7,81.1,73,61,49.8,39.8
NOWATA,OK,USC00346485,36,41.2,50,59.8,69.3,77.7,82.6,82,73,61.6,49.7,38.5
OKEENE,OK,USC00346629,37.4,41.6,50.1,59.2,68.4,77.1,82.2,81.3,72.8,61.1,48.6,38.2
OKEMAH,OK,USC00346638,40.7,45.2,53.9,62.7,70.7,78.1,82.8,82.6,74.5,63.8,52.5,42.2
OKMULGEE WTR WKS,OK,USC00346670,38.3,42.7,51,59.9,68.8,76.7,81.4,80.8,72.3,61.4,50.4,40.5
OOLOGAH DAM,OK,USC00346729,35.9,39.4,48.5,58.8,67.6,75.9,81.8,81.1,72.3,60.5,49.5,38.2
PAULS VALLEY 4 WSW,OK,USC00346926,38.8,43.2,51.2,60.7,69.5,77.6,82.3,81.8,73.5,62.4,50.8,40.2
PAWHUSKA,OK,USC00346935,36.2,41.2,50.5,60.1,68.4,76.3,81.3,80.8,72.3,60.9,49.2,37.8
PERRY,OK,USC00347012,36.3,40.8,49.8,59.5,68.5,76.9,82,81.6,72.8,61.1,48.9,37.7
PINE CREEK DAM,OK,USC00347080,40.6,44.6,53.2,61.1,69.8,77.5,81.5,81.9,74.3,63.5,52.4,42.9
POTEAU WTR WKS,OK,USC00347254,39.3,44,51.8,60.8,69.3,76.9,81.4,81.2,72.6,61.3,51.2,40.9
PRYOR,OK,USC00347309,35.4,40.1,49,58,67.2,75.5,80.3,80.2,71.5,59.6,48.7,37.7
PURCELL 2 SW,OK,USC00347327,37.1,41.7,50.2,59.8,68.8,76.8,81.6,81.3,72.9,61.5,49.6,38.9
RALSTON,OK,USC00347390,35,40.2,49,59,68.1,76.3,81.2,80.5,71.7,60.1,47.9,36.6
REYDON 2SSE,OK,USC00347579,35.7,40,47.2,57.1,66.1,74.7,79.2,79.1,70.7,59.1,46.6,35.8
SALLISAW 2 NW,OK,USC00347862,38.1,42.8,51.1,60.2,68.8,76.6,81.4,81.2,73.4,62.3,50.7,40.4
SEMINOLE,OK,USC00348042,39,43.2,51.3,61,70.2,77.9,83.1,82.6,74,62.7,51.2,40.8
SMITHVILLE,OK,USC00348285,37.8,41.7,50.2,57.9,66.5,74.1,78.1,78.2,70.3,59.6,49.1,39.8
SPAVINAW,OK,USC00348380,37.6,42.1,50.6,60,69.1,77,82.1,81.7,73.5,62.8,51.3,40.4
STILLWATER 2 W,OK,USC00348501,35.9,40.1,48.9,58.5,67.7,76.1,81.1,80.8,71.8,60,48.5,37.6
STILWELL 5 NNW,OK,USC00348506,36.6,41.5,49.6,58.2,66,73.8,78.5,78.2,70.2,59.4,48.9,38.4
TAHLEQUAH,OK,USC00348677,38.1,42.7,51.6,60.3,67.9,75.2,80,79.8,71.9,61.2,50.5,39.9
TALOGA,OK,USC00348708,35.5,39.3,47.3,57,67.3,76.5,81.5,80.6,71.6,59.1,46.7,36.1
TENKILLER FERRY DAM,OK,USC00348769,38.8,41.8,50.3,59.1,66.8,75.8,79.7,79.8,72,62.1,51.9,39.4
TURPIN 4 SSE,OK,USC00349017,33.9,37,45.6,55.3,65.1,75.1,79.9,78.6,69.7,57.2,44.3,33.9
TUSKAHOMA,OK,USC00349023,39.7,43.6,51.5,60,68.5,76,80.7,80.4,72.5,62,51,41.1
UPPER SPAVINAW PORT,OK,USC00349101,35.7,40.4,48.7,57.6,66.3,74.8,79.6,79.1,70.3,59.5,48.8,38.2
VINITA 2 N,OK,USC00349203,35.2,40,48.8,58.4,67,76.2,81,79.9,71.6,60.5,49.1,37.8
WAGONER,OK,USC00349247,38.9,43.5,52.3,61.4,69.5,77.2,81.9,81.7,73.3,62.4,51.5,40.8
WALTERS,OK,USC00349278,39.5,43.4,51.6,60.7,69.8,78.2,82.9,83,74.3,63.1,50.9,40.4
WATONGA,OK,USC00349364,35.6,39.4,47.5,57.1,67.3,76.2,81.5,80.2,71.6,59.5,47,36.6
WAURIKA,OK,USC00349395,42.9,47,55.4,63.8,72.3,79.6,84.2,84,76.1,65.2,53.5,43.6
WAYNOKA,OK,USC00349404,34.8,38.9,47.3,57.6,67.8,77.1,82.7,81,72.2,59.4,46.5,35.3
WEATHERFORD,OK,USC00349422,36.7,40.9,49.4,58.5,68.2,77,82,81.1,72.5,60.5,48.3,37.7
WEBBERS FALLS 5 WSW,OK,USC00349445,36.4,41.1,49.8,58.8,67.4,75.9,80.8,80.6,72.4,60.9,49.7,39.1
WICHITA MTN WR,OK,USC00349629,39.5,43.2,52,60.7,69.7,77.8,83,82.2,73.6,62.5,50.9,40.2
WILBURTON 9 ENE,OK,USC00349634,40.2,44.6,53.1,61.6,69.8,76.5,81.5,81.2,73.3,62.2,51.7,41.9
WISTER 3S,OK,USC00349724,38.6,42.9,50.6,59.3,68,76.7,80.8,80.5,71.9,62,51.9,40.2
ADEL,OR,USC00350036,32.1,34.3,40.7,46.7,54.4,61.2,70.5,69.7,60.8,50.6,37.8,31.1
ALKALI LAKE,OR,USC00350118,30.8,32.7,38.1,43,50.7,58.7,66.7,65.5,56.8,45.9,36,29.4
ALSEA FH (FALL CREEK),OR,USC00350145,41.4,43.3,46.3,49.7,54,58.3,62.8,62.8,58.3,51.3,44.4,39.2
ANDREWS WESTON MINE,OR,USC00350189,32.3,35.8,42.4,48.4,56.3,64.5,74.4,72.8,63.3,52.6,39,31.4
ANTELOPE 6 SSW,OR,USC00350197,32.8,35.3,40.7,45.1,52.3,59.1,67.2,66.8,59.3,48.8,38.4,31.2
ARLINGTON,OR,USC00350265,35.1,38.4,46.3,53.1,61.5,68.4,75.9,74.9,65.7,53.3,41.9,33.9
ASHLAND,OR,USC00350304,39,41.8,45.1,49.2,55.8,62.2,68.9,68,61.5,51.9,42.6,38.1
AUSTIN 3 S,OR,USC00350356,24.3,27.5,34.4,40.5,48,54.7,61.9,61.2,52.8,43.1,32.2,23.7
BANDON 2 NNE,OR,USC00350471,47.2,47.6,48.7,50.2,53.6,57,59.6,59.7,57.9,54.2,49.9,46.6
BARNES STN,OR,USC00350501,30.4,33.6,39.6,44.2,51.5,58.5,66.4,65.3,57.4,47.6,36.4,29.2
BEAVERTON 2 SSW,OR,USC00350595,41.9,44,47.9,51.8,57.4,62.5,67.6,67.6,63.1,54,45.9,40.4
BELKNAP SPRINGS 8 N,OR,USC00350652,34.1,36.6,41.2,45.9,52.9,59.1,66.2,65.8,60,50.2,39.5,33.1
BEND,OR,USC00350694,32.7,34.2,39.3,43.6,50.5,57.1,64.5,63.8,56.5,47.3,37.6,31.1
BEND 7 NE,OR,USC00350699,32.8,34.6,39.8,44,50.8,57.1,64.9,64.3,57.4,48.2,38,31.2
BEULAH,OR,USC00350723,27.1,31.9,40.5,47,55.4,62.6,71.7,70.4,60.7,49.4,36.3,27.1
BLY 4 SE,OR,USC00350856,31.4,33.8,38.6,43.1,51.5,58.6,66.6,64.7,56.8,46.7,36.6,29.6
BOARDMAN,OR,USC00350858,35.2,38.4,45.9,52.7,60.5,67.4,74.5,73.1,64,52.4,42.1,34
BONNEVILLE DAM,OR,USC00350897,39.6,42,47,51.5,57.5,62.8,68.5,68.9,63.9,55.2,45.9,38.7
BROOKINGS 2 SE,OR,USC00351055,48.8,49.4,50.2,51.7,55,58.2,60.1,60.2,59.5,56.3,51.2,48.4
BROOKINGS,OR,USC00351058,47.4,47.8,49.1,51.5,54.4,57.4,60.1,60.3,59.3,55.8,50.1,46.5
BROTHERS,OR,USC00351067,27.2,29.7,35.1,40.3,47.3,54.3,62.2,61.4,53.2,44,33.1,26.2
BURNS JUNCTION,OR,USC00351174,30.5,34.6,42.1,48.1,56.7,65.1,74.1,71.7,62,50.1,37.1,29.1
CASCADIA,OR,USC00351433,39.1,41.6,44.8,48.3,53.5,58.2,63.7,63.5,58.7,50.8,43,38
CAVE JUNCTION 1 WNW,OR,USC00351448,42.2,45.4,48.8,52.8,59.2,65.8,72.8,71.9,66.3,56.6,46.8,41.4
CHEMULT,OR,USC00351546,27.4,29.6,35.2,39.9,47.3,53.5,60.9,59.6,53,43.6,32.7,25.3
CHILOQUIN 12 NW,OR,USC00351574,28.8,32.3,38,43.3,49.8,56.4,63.4,62.6,55.7,46.4,36,28.9
CLATSKANIE,OR,USC00351643,39.9,41.7,45.5,48.8,54.1,58.7,63.2,63.7,59.5,51.4,43.9,38.7
CLOVERDALE,OR,USC00351682,46.1,47.2,48.3,50.1,54.1,57.6,60.6,61.3,59.7,54.7,49.2,45.1
CONDON,OR,USC00351765,32.3,35,41,45.9,52.9,59.4,67,66.5,58.7,48.7,38.1,30.7
COQUILLE CITY,OR,USC00351836,45.7,46.8,48.4,50.2,54.1,57.8,61.3,61.9,59.9,54.9,49,44.8
Corvallis,OR,USC00351862,40.6,42.8,46.7,50.2,55.6,60.8,66.7,66.9,62.3,53.2,45.2,39.6
CORVALLIS WATER BUREAU,OR,USC00351877,40.1,42.2,46,49.8,55.5,60.5,66,66.1,61.8,52.7,44.4,38.9
COTTAGE GROVE 2E,OR,USC00351897,41.2,43.5,47.1,50.5,55.9,61,66.7,66.5,61.4,53.4,45.7,40.3
COTTAGE GROVE DAM,OR,USC00351902,40.2,42.5,45.6,49,54.6,59.5,65.4,65.8,61.4,52.8,44.4,39.2
COUGAR DAM,OR,USC00351914,38.2,40.4,44.9,49.4,57.6,63.2,68.7,68.3,62.4,53,43,37.3
COVE 1 E,OR,USC00351926,31.2,34.2,40.5,45.9,53.1,59.3,67.6,67,59.4,48.5,38,30.7
CRATER LAKE NPS HQ,OR,USC00351946,26.4,26.3,28.3,32.2,38.8,45.6,54.6,55.1,49.6,41,30,25.8
DALLAS 2 NE,OR,USC00352112,40.9,43.2,47,50.6,56.2,61.2,66.8,67,63,53.9,45,39.5
DANNER,OR,USC00352135,27.4,31.5,38.9,44.3,52.3,59.7,67.7,66.1,57,45.8,34.8,27
DAYVILLE 8 NW,OR,USC00352173,36.1,39.1,45.2,49.9,57.3,64.8,72.6,71.7,63.7,52.9,42.1,35.7
DETROIT DAM,OR,USC00352292,39.3,40.7,44.6,48.6,54.4,59.9,66.1,66.8,62,52.8,43.9,38.7
DORENA,OR,USC00352374,40.7,42.6,46,49.3,54.9,59.7,65.6,65.4,60.6,52.5,44.8,39.5
DRAIN,OR,USC00352406,42.8,45.1,48.5,51.9,57.3,62.1,67.8,67.8,63.2,55.1,47.2,41.8
DREWSEY,OR,USC00352415,25.7,30.6,39.2,45.3,53.7,61.1,68.9,66.8,57.1,45.8,34,24.7
DUFUR,OR,USC00352440,34.6,38.4,44.6,49.6,56.6,62.7,69.2,68.8,62,51,40.2,32.6
ELGIN,OR,USC00352597,30.7,33.7,40.7,46.4,53.7,60.1,66.4,65.8,57.9,47.5,37.6,29.6
ELKTON 1SW,OR,USC00352632,43.1,46,48.6,51.9,55.8,61.7,67.6,67.7,63.3,55.1,47,41.4
ELKTON 3 SW,OR,USC00352633,43.6,46.3,49.6,52.9,58.3,62.8,68.3,68.5,64.4,56.4,47.8,42.5
ENTERPRISE 2 S,OR,USC00352675,24.6,28.3,35.6,41.2,47.6,54,60.8,59.8,51.9,43,32.2,24.5
ENTERPRISE 20 NNE,OR,USC00352678,27.2,31.1,38.1,44.3,51,57.7,64.7,64.3,55.8,45.6,34.1,26
ESTACADA 2 SE,OR,USC00352693,42,44,47.6,51.1,56.6,61.4,66.8,67,62.2,53.5,46,40.7
FALLS CITY 2 SSW,OR,USC00352800,39.4,41.8,45,48.2,54,58.9,65.2,65.5,61.5,52.4,44,38.6
FALLS CITY #2,OR,USC00352805,40.6,42.8,46,49.8,55.4,60.7,66.4,66.9,62.3,53.5,44.9,39.3
FERN RIDGE-VENETA,OR,USC00352867,40.8,43.7,47.6,51.5,56.6,61.8,67.7,68.3,64.3,54.6,45.3,39.8
FIELDS,OR,USC00352876,31.1,34.9,42,46.5,55.5,63.9,73.6,71.4,62.2,50.8,38.3,29.7
FLORENCE #2,OR,USC00352973,44.2,44.3,47,49.2,52.8,55.9,58.8,59.9,57.2,53,47.4,42.8
FOREST GROVE,OR,USC00352997,38.8,41.6,46,50.1,56.4,61.8,67.5,67.8,62.2,52.5,43.8,38
FT CLATSOP NATL MEM,OR,USC00353014,42.7,43.7,46.1,48.9,53.5,57.3,61.1,61.4,58.8,52.4,45.7,42.3
FOSSIL,OR,USC00353038,39.2,41.3,45.7,49.9,56.5,62.7,69.4,69,61.8,53.2,43.5,36.8
FOSTER DAM,OR,USC00353047,41,42.9,46.5,50,55.1,60.1,65.6,65.6,60.9,52.9,45.2,40.1
FREMONT 5 NW,OR,USC00353095,26.2,28.7,35.1,39.5,47.1,53.6,59.4,59,51,41,30.2,24
GARDINER 1 N,OR,USC00353193,45.6,46.6,47.8,49.5,53.3,56.7,59.6,60.3,58.9,54.4,49.1,45.1
GERBER DAM,OR,USC00353232,31.3,33.8,38.7,42.9,51.1,57.4,66.8,65.8,57.3,47.1,36.7,30.4
GOLD BEACH RS,OR,USC00353356,48.4,48.5,49.5,51.1,54.4,57.5,60,60.5,59.5,56,50.6,47.6
GOVERNMENT CAMP,OR,USC00353402,31.1,32,34.7,38,43.9,50.1,57.4,58.1,53.3,44.5,35.2,30
GRANTS PASS,OR,USC00353445,40.9,44.3,48.1,52.2,58.8,65.1,71.8,71.3,64.7,55.2,45.4,39.8
GRIZZLY,OR,USC00353542,32.5,34.5,38.8,43,49.3,55.8,62.6,62.5,55.1,46.6,37.3,31
HALFWAY,OR,USC00353604,24.8,28.9,39.8,47.4,54.8,61.8,69,67.7,58.9,47.5,35.5,25.4
HART MTN REFUGE,OR,USC00353692,30.8,31.4,35.8,40.9,48.1,55.5,63.4,62.8,55,45.9,34.9,29
HEADWORKS PORTLAND WTR,OR,USC00353770,39.9,42,45.2,49.2,54.8,59.6,65.2,65.7,61.4,52.8,44.2,38.7
HERMISTON 2 NW,OR,USC00353818,34.4,37.8,45.7,52.2,59.9,66.4,72.9,71.4,62.4,51.2,40.5,33.4
HEPPNER,OR,USC00353827,35.2,37.8,44.2,49.1,56.1,62.8,69.8,69.4,61.6,51.3,41.3,33.5
HERMISTON 1 SE,OR,USC00353847,34.9,38.5,45.9,52.1,59.7,66.5,73.5,72.3,63.4,51.9,41.6,33.5
HILLSBORO,OR,USC00353908,42.7,44.7,49.2,53.2,58.8,64,69.4,69,64,55,47.1,41.9
HONEYMAN SP,OR,USC00353995,43.2,44.4,46.1,48.5,52.3,55.8,58.3,58.8,57.5,52.2,46.4,42.5
HOOD RIVER EXP STN,OR,USC00354003,36.3,39,45.1,50.2,56.9,62.5,68.3,67.9,61.2,50.9,41.9,35.1
HOWARD PRAIRIE DAM,OR,USC00354060,30.3,32.3,36.5,41.5,48.9,55.6,63.4,62.8,56.4,46.8,35.3,29.3
HUNTINGTON,OR,USC00354098,28.4,33.8,43.8,51.3,60.3,68.8,78.3,76.6,65.7,51.9,37.9,28.5
IDLEYLD PARK 4 NE,OR,USC00354126,39.9,42.7,46.5,50.4,56.1,61.1,66.7,66.3,61.2,52.5,43.8,38.7
ILLAHE,OR,USC00354133,43.8,45.6,49,52.3,58,64.2,70.3,70.8,66.5,56.6,47,42.3
IRONSIDE 2 W,OR,USC00354175,24.3,28.6,37.7,45.1,52.6,60.1,69.5,68.7,59.4,47.6,33.8,24.2
JOHN DAY,OR,USC00354291,32.9,36.1,41.7,46.7,54.3,61.5,68.9,68.2,59.8,49.4,38.9,32
JOSEPH,OR,USC00354329,26.3,30.2,37.7,42.9,50.6,57.1,65.2,65.3,57.4,46.6,34.9,25.7
KENT,OR,USC00354411,32.9,35.6,41.9,46.7,53.6,60.6,68.5,68.5,61.3,50.4,39,30.8
KLAMATH FALLS 2 SSW,OR,USC00354506,32.9,36.8,42.5,47.5,55.8,63.2,71.6,69.8,62.5,51.2,38.7,31.8
LACOMB 3 NNE,OR,USC00354606,40.2,42.3,45.9,49.2,54.7,59.6,65.1,65.1,60.5,52,44.3,39.1
LA GRANDE,OR,USC00354622,31.4,34.4,40.8,46.7,54.4,61.7,69.6,69,60,48.7,38,30.7
LAKEVIEW 2 NNW,OR,USC00354670,29.7,32.2,38,43.5,51.1,59.3,67.8,66.2,58.5,48,36.4,29.3
LANGLOIS #2,OR,USC00354721,48.4,48.7,49.4,51.4,54.9,57.9,61.4,61.7,60.3,55.7,50.9,47.3
LANGLOIS 5 NNE,OR,USC00354732,46.9,47.4,47.9,49.8,53.3,56.4,59.4,59.6,58.6,54.5,50,46.7
LAUREL MTN,OR,USC00354776,36.4,35.9,36.8,39.7,45.8,51.2,58.4,59.2,55.4,47.5,38.7,35.2
LEABURG 1 SW,OR,USC00354811,41.5,43.7,46.9,50.3,55.6,60.8,66.7,66.7,61.9,53.8,45.5,40
LEBANON,OR,USC00354819,41.1,44,48.3,51.9,57.6,63.2,69.6,69.6,64.4,54.7,46.9,41.3
LEMOLO LAKE 3 NNW,OR,USC00354835,33.9,35.4,38.4,42.3,49.8,56.7,64,63.6,57.5,48.4,37.9,33
LONG CREEK,OR,USC00355020,31.8,34.7,39.6,44.7,51.6,58.2,65.6,65.4,57.7,48.3,38,30.9
LOOKOUT POINT DAM,OR,USC00355050,41.4,43.7,47,50.4,55.2,60.3,66.5,66.5,62.5,54.5,46.2,40.6
LOST CREEK DAM,OR,USC00355055,39.1,41.8,45.6,49.9,56.3,62.6,69.6,69.5,63.3,53.4,43.2,38.1
MADRAS,OR,USC00355139,32.5,35.4,41.1,45.6,52.7,59.4,65.9,65,57.6,47.2,38.3,30.8
MADRAS 2 N,OR,USC00355142,33.7,36.3,41.9,46.8,54.1,60.9,68.2,67.8,60.1,49.4,39.2,32
MALHEUR BRANCH EXP STN,OR,USC00355160,28,33.7,43.6,50.7,59.3,66.9,74.7,72.9,63,50.9,38,28.5
MALHEUR REFUGE HQ,OR,USC00355162,28,31.9,38.9,44.4,52.7,59.6,67,65,56.9,46.5,35.2,27.2
MALIN 5 E,OR,USC00355174,33,35.4,39.6,44,51.6,58.8,66.3,65.2,58.9,48.9,37,31.3
MAPLETON,OR,USC00355204,42.9,44.6,47.3,50.4,54.8,58.3,63.1,64.3,61.1,54.6,47.2,42
MARION FRKS FISH HATCH,OR,USC00355221,33.6,35.6,40,44.3,50.9,57.2,63.8,63.2,56.9,47.7,38.1,32.6
MASON DAM,OR,USC00355258,24.2,27.5,36,42.8,50.3,56.8,64.1,64,55.9,45.5,34,24.2
MC DERMITT 26 N,OR,USC00355335,31.8,34.8,41.5,47,55.1,63.3,71.9,70.1,61,50.3,38.4,30.6
MCKENZIE BRG RS,OR,USC00355362,37.6,39.5,44.6,50.2,56.9,62.8,68.6,68,60.7,50.8,41.6,35.9
MC MINNVILLE,OR,USC00355384,40.7,43.2,47.1,51,57,62.1,67.7,67.6,62.8,53.5,45.3,39.6
MCNARY DAM NO 2,OR,USC00355392,35.3,38.6,45.9,52.2,60,66.8,73.9,74.1,65.1,54,42.8,34.3
Medford,OR,USC00355424,38.5,42.4,46.1,50.8,57.4,63.7,70.3,69.4,61.8,52.1,42.6,38.5
METOLIUS 1 W,OR,USC00355515,33.1,35.8,40.9,45.2,52.1,58.3,65.2,65,57.8,48,38,30.3
MIKKALO 6 W,OR,USC00355545,33.9,37.1,43.5,48.3,55.5,62.8,70.9,68.8,61.1,50.7,39.1,31.7
MILTON FREEWATER,OR,USC00355593,36.4,39.9,47.4,53.5,60.4,67.2,74.9,74,65.2,53.9,42.8,34.5
MITCHELL 2 E,OR,USC00355638,34.5,36.4,41,45.2,52.2,58.7,67.8,66.6,59.1,50.2,40,33
MITCHELL 2 NW,OR,USC00355641,34.7,37.5,42.6,47.5,55.1,62,70.5,70,61.5,51.2,40.6,32.9
MOLALLA 7NE,OR,USC00355681,41.4,44,47.4,51.2,57.1,61.9,67.7,68.8,64.2,54.3,45.9,40.5
MONUMENT 2,OR,USC00355711,33,37.3,44.1,49.9,57.5,64.2,71.6,71,62.2,50.2,40.4,32.4
MORO,OR,USC00355734,32.4,35.8,42.1,47.3,54.5,61,68.6,68.1,60.5,49.6,39,31
NATURE PARK-BEAVERTON,OR,USC00355945,45,46.4,50.3,52.9,58.7,63,68.1,68.9,64.1,55.4,48.2,43.6
N WILLAMETTE EXP STN,OR,USC00356151,42,44.1,47.8,51.2,57.3,62.5,68.1,68.1,63.3,53.9,46.2,40.2
NYSSA,OR,USC00356179,28.3,34.1,43.9,51.1,59.3,67.2,75.1,73.1,62.8,50.7,37.8,28.6
OAKRIDGE FISH HATCHERY,OR,USC00356213,38.1,41,45,48.9,54.6,59.8,65.4,65.5,60.3,51.6,42.2,37.1
OCHOCO RS,OR,USC00356243,27.5,30.7,36.9,41.7,48.3,54.7,62.3,61.9,54.5,44.7,34.2,26.9
ODELL LAKE-EAST,OR,USC00356252,28,29.7,33.7,37.6,44.1,51.2,59.2,58.9,52.5,43.4,33.6,27.3
O O RCH,OR,USC00356302,30,33.9,41,45.4,51.3,59.3,66.7,65.3,57,47.4,36.5,29
OREGON CITY,OR,USC00356334,42.5,45.1,49,53.3,59.2,64.3,69.9,70.1,65.1,55.5,46.7,41
OTIS 2 NE,OR,USC00356366,42.8,44.4,46.8,49.3,53.4,56.8,60.4,61.2,58.9,52.8,46.1,41.5
OWYHEE DAM,OR,USC00356405,29.7,34.5,43.1,49.6,57.8,65.7,73.3,71.9,62.7,51.3,38.2,29.3
PAISLEY,OR,USC00356426,32.5,35.3,40.5,45.6,53.1,59.8,67,66.2,58.4,48.5,37.4,30.7
PARKDALE 1 NNE,OR,USC00356466,35.1,37.4,42.9,47.4,53.7,59.1,65.1,64.8,58.7,49.5,40.1,33.3
